"Company","Description","Location","Comp Range","Tier","Notes"
"Aurora","Autonomous trucking. Strong robotics team.","Pittsburgh / some remote","250-350k","2",""
"Waymo","Autonomous vehicles. Well-funded, slower pace.","Mountain View / Phoenix","280-400k","2","Gold standard for real-world autonomous controls."
"Microsoft Research","AI research. Good WLB.","Seattle (Redmond) / Cambridge UK / Toronto","300-450k","2",""
"Amazon Seattle","AWS AI, Alexa, robotics.","Seattle","300-450k","2",""
"Apple","Some ML roles in Austin. Mostly Cupertino though.","Austin / Cupertino","350-500k","2",""
"Tesla Optimus","Humanoid robot program. Elon pushing Austin as global humanoid hub.","Austin","250-400k","2","Intense culture. Robot produced in millions."
"Agility Robotics","Bipedal logistics robot 'Digit'. First fully deployed in Amazon warehouses at scale.","Pittsburgh / Salem, OR","","2","Best play for Embodied AI deployment."
"K2 Space","Mega-satellite bus. Massive, cheap satellite platforms. Need GNC experts for heavy spacecraft.","LA (Torrance)","","2",""
"Machina Labs","'Robotic Blacksmiths' - robots forming metal sheets for aerospace.","LA (Chatsworth)","","2","Series B. Aerospace + Robotics fit."
"Symbotic","Warehouse automation giants. Walmart is biggest customer.","Boston (Wilmington)","","2","Publicly traded ($SYM). Aligned with freight background."
"ClearSpace","Orbital debris removal. Pure spacecraft capture and controls.","Lausanne, Switzerland","","2","Perfect academic and mission fit for PhD."
"Google Zurich","Only place in Europe that pays US-level salaries. Engineering HQ for Europe.","Zurich, Switzerland","CHF 250-400k+","2","Low taxes, high quality of life."
"Covariant","Robotics + AI for general autonomous manipulation. Founded by Abbeel.","Emeryville / global","","2","Deep robotics + ML integration."
"Mobileye (Intel)","Acquiring humanoid robotics startup Mentee (~$900M). Perception + robotics integration.","Jerusalem / global","","2","Strong systems + autonomy + industry reach."
"NVIDIA/TII Physical AI","New global AI + robotics research lab. Heavy funding and ambition.","Abu Dhabi","","2","Hardware/software integration at scale."
"Oxa","Autonomous vehicle software (Universal Autonomy).","Oxford, UK","","2","Hard AV work in UK."
"Aleph Alpha","European sovereign AI play. Smaller but interesting.","Germany","€150-220k","3",""
"Skydio","Strong autonomy perception + real world robotics. More distributed than SF.","Remote / other hubs","","3","Highly technical."
"Unitree","Massive industrial robotics (humanoids + quadrupeds). Fast growing.","China","","3","Lots of real-world autonomy work. International."
"Seoul Robotics","Leading LiDAR + 3D perception software used globally.","South Korea","","3","AI + real perception stack."
"Cruise","Autonomous vehicles. Currently paused/restructuring.","—","—","3","May be hiring again. Worth monitoring."
